Picklist_date,picklist_no,picklist_type,stores_in_picklist
2025-12-08,1,bulk,"398939.0,400263.0"
2025-12-08,2,multi order,"394957.0,398693.0"
2025-12-08,3,bulk,"400317.0,400263.0"
2025-12-08,4,bulk,"395059.0,398693.0"
2025-12-08,5,bulk,"395106.0,400263.0"
2025-12-08,6,bulk,"394957.0,400357.0"
2025-12-08,7,multi order,"395106.0,400317.0"
2025-12-08,8,multi order,"394957.0,401063.0"
2025-12-08,9,bulk,"400907.0,397205.0"
2025-12-08,10,bulk,"398939.0,400317.0"
2025-12-08,11,multi order,"395106.0,398693.0"
2025-12-08,12,bulk,"395059.0,394957.0"
2025-12-08,13,multi order,"398693.0,401063.0"
2025-12-08,14,bulk,"398939.0,400263.0"
2025-12-08,15,multi order,"400356.0,394957.0"
2025-12-08,16,multi order,"394957.0,398693.0"
2025-12-08,17,bulk,"398939.0,397205.0"
2025-12-08,18,bulk,"398939.0,394957.0"
2025-12-08,19,bulk,"400356.0,398693.0"
2025-12-08,20,bulk,"397205.0,400263.0"
2025-12-08,21,bulk,"395106.0,400356.0"
2025-12-08,22,bulk,"398939.0,394957.0"
2025-12-08,23,bulk,"398693.0,400263.0"
2025-12-08,24,bulk,"394957.0,401063.0"
2025-12-08,25,multi order,"395059.0,400357.0"
2025-12-08,26,multi order,"395106.0,400263.0"
2025-12-08,27,multi order,"395106.0,398693.0"
2025-12-08,28,multi order,"394957.0,400317.0"
2025-12-08,29,bulk,"400357.0,400263.0"
2025-12-08,30,multi order,"394957.0,398693.0"
2025-12-08,31,bulk,"398939.0,397205.0"
2025-12-08,32,bulk,"400907.0,400357.0"
2025-12-08,33,multi order,"397205.0,401063.0"
2025-12-08,34,multi order,"398939.0,394957.0"
2025-12-08,35,multi order,"397205.0,398693.0"
2025-12-08,36,bulk,"394957.0,401063.0"
2025-12-08,37,multi order,"397205.0,400263.0"
2025-12-08,38,bulk,"400907.0,398939.0"
2025-12-08,39,multi order,"394957.0,401063.0"
2025-12-08,40,bulk,"398939.0,394957.0"
2025-12-08,41,bulk,"398939.0,400263.0"
2025-12-08,42,bulk,"394957.0,401063.0"
2025-12-08,43,multi order,"398939.0,398693.0"
2025-12-08,44,bulk,"400356.0,398693.0"
2025-12-08,45,bulk,"394957.0,398693.0"
2025-12-08,46,bulk,"394957.0,401063.0"
2025-12-08,47,bulk,"397205.0,398693.0"
2025-12-08,48,multi order,"394957.0,400263.0"
2025-12-08,49,multi order,"395059.0,398939.0"
2025-12-08,50,multi order,"398939.0,398693.0"
2025-12-08,51,bulk,"397205.0,400317.0"
2025-12-08,52,multi order,"394957.0,397205.0"
2025-12-08,53,multi order,"394957.0,398693.0"
2025-12-08,54,multi order,"395106.0,394957.0"
2025-12-08,55,bulk,"397205.0,398693.0"
2025-12-08,56,multi order,"400357.0,400263.0"
2025-12-08,57,bulk,"398693.0,401063.0"
2025-12-08,58,bulk,"398939.0,400357.0"
2025-12-08,59,multi order,"400356.0,394957.0"
2025-12-08,60,multi order,"398939.0,394957.0"
2025-12-08,61,bulk,"397205.0,400263.0"
2025-12-08,62,multi order,"394957.0,400317.0"
2025-12-08,63,bulk,"397205.0,400317.0"
2025-12-08,64,bulk,"395059.0,398693.0"
2025-12-08,65,bulk,"400907.0,398693.0"
2025-12-08,66,multi order,"398939.0,397205.0"
2025-12-08,67,bulk,"394957.0,398693.0"
2025-12-08,68,bulk,"397205.0,400263.0"
2025-12-08,69,bulk,"394957.0,398693.0"
2025-12-08,70,bulk,"394957.0,401063.0"
2025-12-08,71,bulk,"398939.0,397205.0"
2025-12-08,72,bulk,"398939.0,398693.0"
2025-12-08,73,bulk,"400356.0,397205.0"
2025-12-08,74,multi order,"398939.0,400263.0"
2025-12-08,75,multi order,"400356.0,398693.0"
2025-12-08,76,multi order,"395059.0,394957.0"
2025-12-08,77,bulk,"395106.0,400907.0"
2025-12-08,78,bulk,"400356.0,398693.0"
2025-12-08,79,bulk,"394957.0,401063.0"
2025-12-08,80,multi order,"394957.0,398693.0"
2025-12-08,81,bulk,"400356.0,394957.0"
2025-12-08,82,multi order,"395059.0,398693.0"
2025-12-08,83,bulk,"395106.0,400317.0"
2025-12-08,84,multi order,"394957.0,401063.0"
2025-12-08,85,multi order,"398939.0,400263.0"
2025-12-08,86,bulk,"395106.0,398693.0"
2025-12-08,87,multi order,"394957.0,397205.0"
2025-12-08,88,multi order,"398939.0,398693.0"
2025-12-08,89,multi order,"394957.0,397205.0"
2025-12-08,90,multi order,"394957.0,398693.0"
2025-12-08,91,bulk,"398939.0,397205.0"
2025-12-08,92,bulk,"398939.0,394957.0"
2025-12-08,93,multi order,"394957.0,397205.0"
2025-12-08,94,multi order,"398693.0,401063.0"
2025-12-08,95,multi order,"394957.0,400317.0"
2025-12-08,96,bulk,"394957.0,397205.0"
2025-12-08,97,multi order,"394957.0,400357.0"
2025-12-08,98,bulk,"398939.0,401063.0"
2025-12-08,99,bulk,"394957.0,400263.0"
2025-12-08,100,multi order,"398939.0,398693.0"
2025-12-08,101,multi order,"400356.0,394957.0"
2025-12-08,102,multi order,"395106.0,400357.0"
2025-12-08,103,multi order,"394957.0,398693.0"
2025-12-08,104,bulk,"400356.0,397205.0"
2025-12-08,105,bulk,"400317.0,401063.0"
2025-12-08,106,multi order,"398939.0,395059.0"
2025-12-08,107,bulk,"400907.0,400263.0"
2025-12-08,108,bulk,"395106.0,398939.0"
2025-12-08,109,bulk,"398693.0,397205.0"
2025-12-08,110,multi order,"394957.0,398693.0"
2025-12-08,111,multi order,"397205.0,400317.0"
2025-12-08,112,multi order,"398693.0,401063.0"
2025-12-08,113,multi order,"398939.0,400356.0"
2025-12-08,114,multi order,"394957.0,398693.0"
2025-12-08,115,multi order,"398939.0,401063.0"
2025-12-08,116,multi order,"400356.0,397205.0"
2025-12-08,117,bulk,"398693.0,401063.0"
2025-12-08,118,multi order,"395059.0,398939.0"
2025-12-08,119,bulk,"398939.0,400356.0"
2025-12-08,120,bulk,"398693.0,401063.0"
2025-12-08,121,bulk,"398939.0,397205.0"
2025-12-08,122,bulk,"400357.0,398693.0"
2025-12-08,123,multi order,"397205.0,400263.0"
2025-12-08,124,bulk,"394957.0,398693.0"
2025-12-08,125,multi order,"395059.0,394957.0"
2025-12-08,126,multi order,"394957.0,398693.0"
2025-12-08,127,bulk,"397205.0,401063.0"
2025-12-08,128,bulk,"395106.0,394957.0"
2025-12-08,129,multi order,"397205.0,398693.0"
2025-12-08,130,bulk,"400357.0,397205.0"
2025-12-08,131,multi order,"400357.0,398693.0"
2025-12-08,132,multi order,"394957.0,400263.0"
2025-12-08,133,multi order,"398939.0,397205.0"
2025-12-08,134,bulk,"395106.0,398693.0"
2025-12-08,135,bulk,"398939.0,398693.0"
2025-12-08,136,bulk,"398693.0,400263.0"
2025-12-08,137,bulk,"398939.0,397205.0"
2025-12-08,138,bulk,"395106.0,400356.0"
2025-12-08,139,multi order,"394957.0,400263.0"
2025-12-08,140,multi order,"394957.0,398693.0"
2025-12-08,141,bulk,"398939.0,398693.0"
2025-12-08,142,multi order,"394957.0,398693.0"
2025-12-08,143,multi order,"400907.0,400317.0"
2025-12-08,144,multi order,"398939.0,398693.0"
2025-12-08,145,multi order,"400317.0,401063.0"
2025-12-08,146,bulk,"400907.0,400263.0"
2025-12-08,147,bulk,"394957.0,398693.0"
2025-12-08,148,multi order,"394957.0,397205.0"
2025-12-08,149,bulk,"398693.0,400317.0"
2025-12-08,150,multi order,"398939.0,400907.0"
2025-12-08,151,bulk,"397205.0,398693.0"
2025-12-08,152,bulk,"394957.0,398693.0"
2025-12-08,153,multi order,"395059.0,401063.0"
2025-12-08,154,bulk,"398939.0,398693.0"
2025-12-08,155,multi order,"395106.0,400317.0"
2025-12-08,156,multi order,"398693.0,401063.0"
2025-12-08,157,multi order,"400357.0,400263.0"
2025-12-08,158,multi order,"398693.0,400317.0"
2025-12-08,159,multi order,"400357.0,398693.0"
2025-12-08,160,bulk,"397205.0,401063.0"
2025-12-08,161,multi order,"400907.0,401063.0"
2025-12-08,162,bulk,"398939.0,398693.0"
2025-12-08,163,bulk,"394957.0,401063.0"
2025-12-08,164,bulk,"395106.0,400356.0"
2025-12-08,165,bulk,"394957.0,397205.0"
2025-12-08,166,bulk,"398939.0,398693.0"
2025-12-08,167,bulk,"395059.0,400357.0"
2025-12-08,168,bulk,"395106.0,398693.0"
2025-12-08,169,bulk,"397205.0,400263.0"
2025-12-08,170,multi order,"398939.0,400263.0"
2025-12-08,171,multi order,"395059.0,401063.0"
2025-12-08,172,multi order,"394957.0,398693.0"
2025-12-08,173,bulk,"397205.0,398693.0"
2025-12-08,174,multi order,"400356.0,394957.0"
2025-12-08,175,bulk,"395106.0,398693.0"
2025-12-08,176,bulk,"398939.0,394957.0"
2025-12-08,177,bulk,"398939.0,398693.0"
2025-12-08,178,multi order,"400907.0,397205.0"
2025-12-08,179,bulk,"395106.0,398693.0"
2025-12-08,180,bulk,"400263.0,401063.0"
2025-12-08,181,bulk,"400357.0,397205.0"
2025-12-08,182,bulk,"400356.0,400317.0"
2025-12-08,183,bulk,"395059.0,398939.0"
2025-12-08,184,multi order,"395106.0,394957.0"
2025-12-08,185,bulk,"394957.0,398693.0"
2025-12-08,186,bulk,"395059.0,400357.0"
2025-12-08,187,bulk,"397205.0,400317.0"
2025-12-08,188,bulk,"398939.0,400907.0"
2025-12-08,189,bulk,"400263.0,401063.0"
2025-12-08,190,multi order,"400356.0,400263.0"
2025-12-08,191,multi order,"400357.0,401063.0"
2025-12-08,192,bulk,"395106.0,400317.0"
2025-12-08,193,multi order,"395059.0,394957.0"
2025-12-08,194,multi order,"395106.0,394957.0"
2025-12-08,195,multi order,"398693.0,400263.0"
2025-12-08,196,bulk,"394957.0,400357.0"
2025-12-08,197,bulk,"398939.0,397205.0"
2025-12-08,198,bulk,"398939.0,398693.0"
2025-12-08,199,bulk,"394957.0,397205.0"
2025-12-08,200,bulk,"398693.0,400317.0"
2025-12-08,201,bulk,"400907.0,400357.0"
2025-12-08,202,multi order,"398939.0,394957.0"
2025-12-08,203,multi order,"398693.0,397205.0"
2025-12-08,204,bulk,"394957.0,401063.0"
2025-12-08,205,bulk,"400357.0,398693.0"
2025-12-08,206,bulk,"394957.0,397205.0"
2025-12-08,207,multi order,"398693.0,401063.0"
2025-12-08,208,bulk,"400357.0,394957.0"
2025-12-08,209,bulk,"400317.0,398693.0"
2025-12-08,210,bulk,"394957.0,400263.0"
2025-12-08,211,multi order,"398693.0,401063.0"
2025-12-08,212,multi order,"400907.0,394957.0"
2025-12-08,213,multi order,"395106.0,400357.0"
2025-12-08,214,multi order,"398939.0,394957.0"
2025-12-08,215,bulk,"400263.0,401063.0"
2025-12-08,216,bulk,"394957.0,398693.0"
2025-12-08,217,multi order,"398693.0,400263.0"
2025-12-08,218,multi order,"394957.0,400357.0"
2025-12-08,219,bulk,"398939.0,397205.0"
2025-12-08,220,multi order,"400357.0,398693.0"
2025-12-08,221,bulk,"400263.0,401063.0"
2025-12-08,222,bulk,"400356.0,398693.0"
2025-12-08,223,bulk,"398939.0,398693.0"
2025-12-08,224,bulk,"395106.0,394957.0"
2025-12-08,225,multi order,"398939.0,394957.0"
2025-12-08,226,bulk,"398693.0,401063.0"
2025-12-08,227,bulk,"394957.0,398693.0"
2025-12-08,228,bulk,"394957.0,400357.0"
2025-12-08,229,bulk,"397205.0,400263.0"
2025-12-08,230,multi order,"394957.0,398693.0"
2025-12-08,231,multi order,"398939.0,401063.0"
2025-12-08,232,bulk,"398939.0,394957.0"
2025-12-08,233,multi order,"395106.0,398693.0"
2025-12-08,234,bulk,"400317.0,397205.0"
2025-12-08,235,bulk,"398693.0,401063.0"
2025-12-08,236,multi order,"400907.0,398693.0"
2025-12-08,237,bulk,"395059.0,400317.0"
2025-12-08,238,bulk,"400907.0,400357.0"
2025-12-08,239,multi order,"394957.0,400317.0"
2025-12-08,240,bulk,"397205.0,398693.0"
2025-12-08,241,bulk,"400263.0,401063.0"
2025-12-08,242,multi order,"398939.0,398693.0"
2025-12-08,243,bulk,"395059.0,400356.0"
2025-12-08,244,bulk,"395106.0,398939.0"
2025-12-08,245,bulk,"395059.0,401063.0"
2025-12-08,246,bulk,"400356.0,398693.0"
2025-12-08,247,bulk,"395106.0,400317.0"
2025-12-08,248,bulk,"395106.0,400907.0"
2025-12-08,249,bulk,"398939.0,400263.0"
2025-12-08,250,bulk,"395059.0,394957.0"
2025-12-08,251,bulk,"400357.0,398693.0"
2025-12-08,252,bulk,"400317.0,400263.0"
2025-12-08,253,bulk,"400907.0,394957.0"
